epoch=1 PSNR=25.2682 SSIM=0.8776
epoch=2 PSNR=25.8808 SSIM=0.8882
epoch=3 PSNR=25.9323 SSIM=0.8909
epoch=4 PSNR=25.9649 SSIM=0.8893
epoch=5 PSNR=24.9489 SSIM=0.8837
epoch=6 PSNR=5.3643 SSIM=0.0048
epoch=7 PSNR=6.2603 SSIM=0.0124
epoch=8 PSNR=10.9250 SSIM=0.0881
epoch=9 PSNR=25.3200 SSIM=0.8760
epoch=10 PSNR=25.4575 SSIM=0.8828
epoch=11 PSNR=25.6927 SSIM=0.8822
epoch=12 PSNR=25.9463 SSIM=0.8867
epoch=13 PSNR=25.3746 SSIM=0.8873
epoch=14 PSNR=26.1699 SSIM=0.8921
epoch=15 PSNR=25.9911 SSIM=0.8866
epoch=16 PSNR=25.9225 SSIM=0.8912
epoch=17 PSNR=26.4056 SSIM=0.8952
epoch=18 PSNR=26.1717 SSIM=0.8907
epoch=19 PSNR=26.2283 SSIM=0.8909
epoch=20 PSNR=26.4503 SSIM=0.8940
epoch=21 PSNR=26.4977 SSIM=0.8970
epoch=22 PSNR=26.3441 SSIM=0.8950
epoch=23 PSNR=25.6617 SSIM=0.8914
epoch=24 PSNR=26.6430 SSIM=0.8971
epoch=25 PSNR=26.3182 SSIM=0.8964
epoch=26 PSNR=26.7782 SSIM=0.8989
epoch=27 PSNR=26.4569 SSIM=0.8953
epoch=28 PSNR=26.7152 SSIM=0.8966
epoch=29 PSNR=26.5654 SSIM=0.8971
epoch=30 PSNR=26.8901 SSIM=0.8982
epoch=31 PSNR=26.8029 SSIM=0.8991
epoch=32 PSNR=26.9005 SSIM=0.8989
epoch=33 PSNR=26.7331 SSIM=0.8985
epoch=34 PSNR=26.8995 SSIM=0.9000
epoch=35 PSNR=26.7758 SSIM=0.9004
epoch=36 PSNR=26.9553 SSIM=0.9008
epoch=37 PSNR=27.0471 SSIM=0.9012
epoch=38 PSNR=26.9127 SSIM=0.9014
epoch=39 PSNR=26.9165 SSIM=0.8985
epoch=40 PSNR=27.0381 SSIM=0.8986
epoch=41 PSNR=27.2130 SSIM=0.9021
epoch=42 PSNR=27.2514 SSIM=0.9025
epoch=43 PSNR=27.2057 SSIM=0.9025
epoch=44 PSNR=27.2559 SSIM=0.9029
epoch=45 PSNR=27.2640 SSIM=0.9034
epoch=46 PSNR=27.2736 SSIM=0.9031
epoch=47 PSNR=27.3039 SSIM=0.9032
epoch=48 PSNR=27.2689 SSIM=0.9027
epoch=49 PSNR=27.3004 SSIM=0.9032
epoch=50 PSNR=27.3099 SSIM=0.9033
